// v1版本，已淘汰。基于内存的会话存储
package logic

// import (
// 	"context"
// 	"errors"
// 	"io"
// 	"strings"

// 	"github.com/sashabaranov/go-openai"
// 	"github.com/zeromicro/go-zero/core/logx"

// 	"GoZero-AI/api/internal/svc"
// 	"GoZero-AI/api/internal/types"
// )

// type ChatLogic struct {
// 	// GoZero 框架提供的日志记录器，自动包含了请求的上下文信息
// 	// 我们可以通过l.logger.Error("获取会话数据失败", err)获取日志记录
// 	logx.Logger

// 	// Go 语言标准库的上下文对象
// 	ctx context.Context

// 	// GoZero 的服务上下文，包含所有依赖的资源
// 	// 存储配置信息（如 OpenAI 配置）
// 	// 存储数据库连接、Redis 连接等资源
// 	// 存储业务逻辑依赖的服务实例
// 	svcCtx *svc.ServiceContext
// }

// // NewChatLogic 初始化 ChatLogic 结构体实例
// func NewChatLogic(ctx context.Context, svcCtx *svc.ServiceContext) *ChatLogic {
// 	return &ChatLogic{
// 		Logger: logx.WithContext(ctx),
// 		ctx:    ctx,
// 		svcCtx: svcCtx,
// 	}
// }

// // Chat 处理聊天请求
// // 1. 创建一个 channel 用于通信
// // 2. 启动一个 goroutine 执行耗时操作
// // 3. 从会话存储中获取会话数据
// // 4. 创建用户消息对象，将用户发送的消息转换为 OpenAI API 标准格式
// // 5. 通过 api\internal\types\session.go 中的 ChatSession 结构体，将用户消息添加到会话历史
// // 6. 创建OpenAI请求（使用完整上下文）
// // 7. 从 ServiceContext 获取配置和 OpenAI 客户端，发起流式请求
// // 8. 循环接收 OpenAI 的流式响应
// // 9. 将收到的内容片段写入 channel
// // 10. 立即返回 channel 给 Handler
// func (l *ChatLogic) Chat(req *types.InterviewAppChatReq) (<-chan *types.ChatRes, error) {
// 	// 1. 创建一个 channel 用于通信
// 	ch := make(chan *types.ChatRes)

// 	// 2. 启动一个 goroutine 执行耗时操作
// 	go func() {
// 		defer close(ch)

// 		// 2.1 从会话存储中获取会话数据
// 		session, err := l.svcCtx.SessionStore.GetSession(req.ChatId)
// 		if err != nil {
// 			l.Logger.Error("获取会话数据失败", err)
// 			return
// 		}

// 		// 2.2 创建用户消息对象，将用户发送的消息转换为 OpenAI API 标准格式
// 		userMessage := openai.ChatCompletionMessage{
// 			Role:    openai.ChatMessageRoleUser, // 标识这是用户发送的消息
// 			Content: req.Message,                // 用户实际发送的消息内容
// 		}

// 		// 2.3 通过 api\internal\types\session.go 中的 ChatSession 结构体，将用户消息添加到会话历史
// 		// 将用户消息添加到会话历史，以便在后续的对话中使用
// 		session.Message = append(session.Message, userMessage)

// 		// 2.4. 创建OpenAI请求（使用完整上下文）
// 		// messages := []openai.ChatCompletionMessage{
// 		// 	{
// 		// 		Role:    openai.ChatMessageRoleSystem,
// 		// 		Content: "你是一个专业的Go语言面试官，负责评估候选人的Go语言能力。请提出有深度的问题并评估回答。",
// 		// 	},
// 		// 	{
// 		// 		Role:    openai.ChatMessageRoleUser,
// 		// 		Content: req.Message,
// 		// 	},
// 		// }
// 		request := openai.ChatCompletionRequest{
// 			Model:               l.svcCtx.Config.OpenAI.Model,
// 			Messages:            session.Message, // 修改：使用会话历史
// 			Stream:              true,
// 			MaxCompletionTokens: l.svcCtx.Config.OpenAI.MaxCompletionTokens,
// 			Temperature:         l.svcCtx.Config.OpenAI.Temperature,
// 		}

// 		// 2.5. 从 ServiceContext 获取配置和 OpenAI 客户端，发起流式请求
// 		stream, err := l.svcCtx.OpenAIClient.CreateChatCompletionStream(l.ctx, request)
// 		if err != nil {
// 			l.Logger.Error(err)
// 			return
// 		}
// 		defer func(stream *openai.ChatCompletionStream) {
// 			err := stream.Close()
// 			if err != nil {
// 				return
// 			}
// 		}(stream) // 申请资源后一定要记得关闭资源，这里采用闭包处理错误，当然也可以不处理

// 		// 2.6. 新增：收集完整的响应内容
// 		var fullResponse strings.Builder

// 		// 2.7. 循环接收 OpenAI 的流式响应
// 		for {
// 			select {
// 			case <-l.ctx.Done(): // 上下文取消
// 				return
// 			default:
// 				response, err := stream.Recv()
// 				if errors.Is(err, io.EOF) { // 流结束
// 					// 新增：流结束后保存会话
// 					assistantMessage := openai.ChatCompletionMessage{
// 						Role:    openai.ChatMessageRoleAssistant,
// 						Content: fullResponse.String(),
// 					}
// 					session.Message = append(session.Message, assistantMessage)
// 					err = l.svcCtx.SessionStore.SaveSession(req.ChatId, session)
// 					if err != nil {
// 						l.Logger.Error("保存会话数据失败: %v", err)
// 					}

// 					// 发送结束标记
// 					ch <- &types.ChatRes{
// 						IsLatest: true,
// 					}
// 					return
// 				}
// 				if err != nil {
// 					l.Logger.Error(err)
// 					return
// 				}

// 				// 将收到的内容片段写入 channel
// 				if len(response.Choices) > 0 {
// 					content := response.Choices[0].Delta.Content

// 					if content != "" {
// 						// 新增：收集完整响应
// 						fullResponse.WriteString(content)
// 						ch <- &types.ChatRes{
// 							Content:  content,
// 							IsLatest: false,
// 						}
// 					}
// 				}
// 			}
// 		}
// 	}()
// 	// 2.8. 立即返回 channel 给 Handler
// 	return ch, nil
// }

// // getSessionHistory 获取会话历史
// func (l *ChatLogic) getSessionHistory(chatId string) ([]openai.ChatCompletionMessage, error) {
// 	session, err := l.svcCtx.SessionStore.GetSession(chatId)
// 	if err != nil {
// 		return nil, err
// 	}
// 	return session.Message, nil
// }
